Country Name,Series Name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Eritrea,"Electricity production from oil, gas and coal sources (% of total)",99.53271028,99.48717949,99.53271028,99.52380952,99.57081545,99.61389961,99.63898917,99.64664311,99.65277778,99.25650558,99.30555556,99.30313589,99.3220339,99.35691318,99.40652819,99.44289694,99.45945946,99.48453608,99.50738916,,,,,,
Estonia,"Electricity production from oil, gas and coal sources (% of total)",5.565198525,7.276141298,7.486695694,9.550099847,9.642815042,9.710331887,7.864947337,7.055512422,7.760901519,8.353884094,5.118949959,6.984216993,6.276341269,5.808392471,5.630962538,5.765856104,3.902071563,5.053832557,7.151771143,,,,,,
Eswatini,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,"Electricity production from oil, gas and coal sources (% of total)",2.973977695,2.903811252,1.155717762,1.3739546,0.944333996,1.02739726,0.696864111,0.708940528,0.421792619,0.305903946,4.567239921,12.3643103,11.12224449,0.62248996,0.583964646,0.158061117,0.091932889,0.031529164,0.038325189,,,,,,
Faroe Islands,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Finland,"Electricity production from oil, gas and coal sources (% of total)",30.983289,26.52386449,28.91861152,28.4240311,31.7012593,34.50470282,41.21860399,35.52565671,26.80286759,36.31305277,31.59086713,26.97076144,30.41945913,33.31184768,27.43500088,20.77942367,25.57222448,20.81387494,16.18583903,,,,,,
France,"Electricity production from oil, gas and coal sources (% of total)",7.683018115,10.63308008,9.739331628,9.256442644,8.253466988,9.234868053,9.925129652,9.637952559,10.80145656,9.710904902,9.994820509,9.434917599,9.280089247,9.852468168,8.535250506,8.706133185,7.766403126,4.824546466,6.055787639,,,,,,
French Polynesia,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,"Electricity production from oil, gas and coal sources (% of total)",35.03184713,39.01712584,36.89759036,38.40304183,37.10021322,37.24696356,40.87353325,41.49350649,47.90343075,42.76276276,53.34486736,50.49396268,47.98034934,52.66149871,58.40274375,57.48613678,55.00954198,59.65965966,56.25587959,,,,,,
"Gambia, The","Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,"Electricity production from oil, gas and coal sources (% of total)",15.58006422,16.93390692,16.15254458,21.06681034,20.10955745,6.752101419,8.854748603,12.63720393,14.1874226,27.06189104,18.17090735,15.27268425,13.3909792,7.477281707,22.60153031,25.49767922,17.77512675,19.63166522,21.96067571,,,,,,
Germany,"Electricity production from oil, gas and coal sources (% of total)",63.68576543,65.01941616,63.17765974,63.15460246,62.69870731,62.79293552,64.37857333,62.68169954,62.31682364,61.02710152,62.79236755,60.75207289,59.73886631,59.45724669,60.40087084,59.68113795,59.23832245,56.7323431,55.06305317,,,,,,
Ghana,"Electricity production from oil, gas and coal sources (% of total)",0.508277665,0,0,0,0,0,0,0,0,0,0,0,0.223264121,10.77997443,24.33928571,12.084165,10.40323207,18.19794801,38.84779393,,,,,,
Gibraltar,"Electricity production from oil, gas and coal sources (% of total)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,
Greece,"Electricity production from oil, gas and coal sources (% of total)",90.68881087,91.45300996,89.97874279,91.93823117,94.28178461,93.16896839,89.5812106,89.70125652,89.05211436,87.19819206,92.63446604,90.83004832,86.57151275,81.4335768,86.04745488,83.19757779,74.72773751,75.61329281,71.12809232,,,,,,
Greenland,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Guam,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,"Electricity production from oil, gas and coal sources (% of total)",31.77758571,44.27737882,42.98668725,48.28042328,52.02322008,58.26199322,50.78578508,42.89429203,39.88073053,44.69752633,52.37551393,44.5859142,50.88979772,36.15202969,35.56257488,33.11729707,32.83266129,31.42590867,39.60933261,,,,,,
